Designator,Mid X,Mid Y,Rotation,Layer
C1,150.2,-113.5,0.0,top
C10,150.8,-149.3,0.0,top
C11,147.975,-55.85,180.0,top
C12,149.9,-155.5,0.0,top
C13,146.2875,-155.5,180.0,top
C2,142.725,-100.95,180.0,top
C3,153.825,-108.15,180.0,top
C4,152.45,-126.25,90.0,top
C5,152.5,-117.5,90.0,top
C6,153.8,-109.8,180.0,top
C7,148.025,-95.79,90.0,top
C8,150.975,-95.54,180.0,top
C9,150.8,-147.5,0.0,top
D1,155.0,-152.4,90.0,top
D2,154.95,-139.95625,270.0,top
D3,153.2,-139.95625,270.0,top
D4,148.275,-91.59,90.0,top
D5,146.7,-123.6875,90.0,top
D6,143.7,-123.625,90.0,top
D7,143.3,-59.3,270.0,top
IC1,155.025,-93.0,270.0,top
IC2,147.6,-59.0,270.0,top
IC4,142.7125,-147.3925,0.0,top
J1,140.225,-118.71,0.0,top
J10,155.4,-134.395,0.0,top
J2,140.45,-133.23,0.0,top
J3,140.2,-93.23,0.0,top
J6,155.5,-126.25,90.0,top
J7,155.5,-117.5,90.0,top
J8,147.2,-160.7075,0.0,top
J9,150.2,-135.67,0.0,top
Q1,150.965,-66.313,180.0,top
R1,146.525,-91.6275,270.0,top
R11,150.2,-60.1,270.0,top
R12,147.2875,-152.5875,90.0,top
R13,149.0375,-152.5875,90.0,top
R15,154.95,-143.58125,90.0,top
R16,153.21,-143.58125,90.0,top
R17,146.7,-120.0,90.0,top
R4,150.45,-126.25,90.0,top
R5,150.5,-117.5875,90.0,top
R6,151.025,-90.54,180.0,top
R7,151.025,-93.04,0.0,top
R8,143.7,-120.0,90.0,top
R9,153.4,-152.4,270.0,top
SW1,152.45,-75.3575,180.0,top
SW2,152.45,-82.8575,180.0,top
SW3,142.95,-82.8575,180.0,top
SW4,142.95,-75.3575,180.0,top
U1,146.45,-107.25,90.0,top
